qx	qy	Energy_lower	Energy_upper
1.0000000000e-02	-1.0000000000e-02	3.2990262329e+00	2.9841590743e+00
1.0000000000e-02	0.0000000000e+00	3.2529470826e+00	3.0302382246e+00
1.0000000000e-02	1.0000000000e-02	3.2990233618e+00	2.9841619454e+00
1.0000000000e-02	2.0000000000e-02	3.3901573021e+00	2.8930280051e+00
1.0000000000e-02	3.0000000000e-02	3.4922210242e+00	2.7909642830e+00
1.0000000000e-02	4.0000000000e-02	3.5971172574e+00	2.6860680498e+00
1.0000000000e-02	5.0000000000e-02	3.7023561469e+00	2.5808291603e+00
1.0000000000e-02	6.0000000000e-02	3.8068351266e+00	2.4763501806e+00
1.0000000000e-02	7.0000000000e-02	3.9099198359e+00	2.3732654713e+00
1.0000000000e-02	8.0000000000e-02	4.0111794817e+00	2.2720058255e+00
1.0000000000e-02	9.0000000000e-02	4.1102929704e+00	2.1728923367e+00
1.0000000000e-02	1.0000000000e-01	4.2070099789e+00	2.0761753282e+00
2.0000000000e-02	-1.0000000000e-01	4.2223691058e+00	2.0608162014e+00
2.0000000000e-02	-9.0000000000e-02	4.1275230535e+00	2.1556622536e+00
2.0000000000e-02	-8.0000000000e-02	4.0307053774e+00	2.2524799297e+00
2.0000000000e-02	-7.0000000000e-02	3.9323324057e+00	2.3508529015e+00
2.0000000000e-02	-6.0000000000e-02	3.8329879402e+00	2.4501973670e+00
2.0000000000e-02	-5.0000000000e-02	3.7335399710e+00	2.5496453362e+00
2.0000000000e-02	-4.0000000000e-02	3.6353922684e+00	2.6477930388e+00
2.0000000000e-02	-3.0000000000e-02	3.5410720164e+00	2.7421132908e+00
2.0000000000e-02	-2.0000000000e-02	3.4556797403e+00	2.8275055669e+00
2.0000000000e-02	-1.0000000000e-02	3.3901591116e+00	2.8930261956e+00
2.0000000000e-02	0.0000000000e+00	3.3639552302e+00	2.9192300770e+00
2.0000000000e-02	1.0000000000e-02	3.3901573021e+00	2.8930280051e+00
2.0000000000e-02	2.0000000000e-02	3.4556768927e+00	2.8275084144e+00
2.0000000000e-02	3.0000000000e-02	3.5410686902e+00	2.7421166170e+00
2.0000000000e-02	4.0000000000e-02	3.6353887283e+00	2.6477965788e+00
2.0000000000e-02	5.0000000000e-02	3.7335363422e+00	2.5496489650e+00
2.0000000000e-02	6.0000000000e-02	3.8329842884e+00	2.4502010188e+00
2.0000000000e-02	7.0000000000e-02	3.9323287698e+00	2.3508565373e+00
2.0000000000e-02	8.0000000000e-02	4.0307017830e+00	2.2524835242e+00
2.0000000000e-02	9.0000000000e-02	4.1275195183e+00	2.1556657888e+00
2.0000000000e-02	1.0000000000e-01	4.2223656433e+00	2.0608196639e+00
3.0000000000e-02	-1.0000000000e-01	4.2472828617e+00	2.0359024455e+00
3.0000000000e-02	-9.0000000000e-02	4.1553552050e+00	2.1278301021e+00
3.0000000000e-02	-8.0000000000e-02	4.0620664746e+00	2.2211188326e+00
3.0000000000e-02	-7.0000000000e-02	3.9680409994e+00	2.3151443078e+00
3.0000000000e-02	-6.0000000000e-02	3.8741660931e+00	2.4090192141e+00
3.0000000000e-02	-5.0000000000e-02	3.7817561405e+00	2.5014291667e+00
3.0000000000e-02	-4.0000000000e-02	3.6928552531e+00	2.5903300541e+00
3.0000000000e-02	-3.0000000000e-02	3.6107903681e+00	2.6723949391e+00
3.0000000000e-02	-2.0000000000e-02	3.5410709107e+00	2.7421143965e+00
3.0000000000e-02	-1.0000000000e-02	3.4922222964e+00	2.7909630108e+00
3.0000000000e-02	0.0000000000e+00	3.4742725021e+00	2.8089128051e+00
3.0000000000e-02	1.0000000000e-02	3.4922210242e+00	2.7909642830e+00
3.0000000000e-02	2.0000000000e-02	3.5410686902e+00	2.7421166170e+00
3.0000000000e-02	3.0000000000e-02	3.6107875594e+00	2.6723977477e+00
3.0000000000e-02	4.0000000000e-02	3.6928521081e+00	2.5903331991e+00
3.0000000000e-02	5.0000000000e-02	3.7817528127e+00	2.5014324945e+00
3.0000000000e-02	6.0000000000e-02	3.8741626751e+00	2.4090226320e+00
3.0000000000e-02	7.0000000000e-02	3.9680375496e+00	2.3151477576e+00
3.0000000000e-02	8.0000000000e-02	4.0620630316e+00	2.2211222755e+00
3.0000000000e-02	9.0000000000e-02	4.1553517959e+00	2.1278335113e+00
3.0000000000e-02	1.0000000000e-01	4.2472795059e+00	2.0359058013e+00
4.0000000000e-02	-1.0000000000e-01	4.2808355564e+00	2.0023497507e+00
4.0000000000e-02	-9.0000000000e-02	4.1926274753e+00	2.0905578319e+00
4.0000000000e-02	-8.0000000000e-02	4.1037496188e+00	2.1794356884e+00
4.0000000000e-02	-7.0000000000e-02	4.0150165343e+00	2.2681687729e+00
4.0000000000e-02	-6.0000000000e-02	3.9275602394e+00	2.3556250678e+00
4.0000000000e-02	-5.0000000000e-02	3.8429887149e+00	2.4401965923e+00
4.0000000000e-02	-4.0000000000e-02	3.7636284122e+00	2.5195568950e+00
4.0000000000e-02	-3.0000000000e-02	3.6928544713e+00	2.5903308359e+00
4.0000000000e-02	-2.0000000000e-02	3.6353905042e+00	2.6477948030e+00
4.0000000000e-02	-1.0000000000e-02	3.5971182255e+00	2.6860670817e+00
4.0000000000e-02	0.0000000000e+00	3.5835674691e+00	2.6996178381e+00
4.0000000000e-02	1.0000000000e-02	3.5971172574e+00	2.6860680498e+00
4.0000000000e-02	2.0000000000e-02	3.6353887283e+00	2.6477965788e+00
4.0000000000e-02	3.0000000000e-02	3.6928521081e+00	2.5903331991e+00
4.0000000000e-02	4.0000000000e-02	3.7636256570e+00	2.5195596502e+00
4.0000000000e-02	5.0000000000e-02	3.8429857125e+00	2.4401995946e+00
4.0000000000e-02	6.0000000000e-02	3.9275570904e+00	2.3556282168e+00
4.0000000000e-02	7.0000000000e-02	4.0150133079e+00	2.2681719993e+00
4.0000000000e-02	8.0000000000e-02	4.1037463634e+00	2.1794389438e+00
4.0000000000e-02	9.0000000000e-02	4.1926242255e+00	2.0905610817e+00
4.0000000000e-02	1.0000000000e-01	4.2808323379e+00	2.0023529693e+00
5.0000000000e-02	-1.0000000000e-01	4.3219076973e+00	1.9612776099e+00
5.0000000000e-02	-9.0000000000e-02	4.2379567878e+00	2.0452285194e+00
5.0000000000e-02	-8.0000000000e-02	4.1540165847e+00	2.1291687224e+00
5.0000000000e-02	-7.0000000000e-02	4.0710382329e+00	2.2121470743e+00
5.0000000000e-02	-6.0000000000e-02	3.9902967855e+00	2.2928885217e+00
5.0000000000e-02	-5.0000000000e-02	3.9135107956e+00	2.3696745116e+00
5.0000000000e-02	-4.0000000000e-02	3.8429881203e+00	2.4401971869e+00
5.0000000000e-02	-3.0000000000e-02	3.7817548180e+00	2.5014304892e+00
5.0000000000e-02	-2.0000000000e-02	3.7335378020e+00	2.5496475052e+00
5.0000000000e-02	-1.0000000000e-02	3.7023569219e+00	2.5808283853e+00
5.0000000000e-02	0.0000000000e+00	3.6915248603e+00	2.5916604469e+00
5.0000000000e-02	1.0000000000e-02	3.7023561469e+00	2.5808291603e+00
