kx	ky	kz	ELattice_down	ELattice_up	ETB_down	ETB_up
1.7278759595e+00	1.7278759595e+00	0.0000000000e+00	-7.3902821944e-01	7.3902821944e-01	-6.9208559766e-01	6.9208559766e-01
1.5707963268e+00	1.5707963268e+00	0.0000000000e+00	-6.5998899976e-01	6.5998899976e-01	-6.1607638375e-01	6.1607638375e-01
1.4137166941e+00	1.4137166941e+00	0.0000000000e+00	-5.5278364214e-01	5.5278364214e-01	-5.1261829275e-01	5.1261829275e-01
1.2566370614e+00	1.2566370614e+00	0.0000000000e+00	-4.3135237669e-01	4.3135237669e-01	-3.9662312262e-01	3.9662312262e-01
1.0995574288e+00	1.0995574288e+00	0.0000000000e+00	-3.1577056144e-01	3.1577056144e-01	-2.8799405747e-01	2.8799405747e-01
9.4247779608e-01	9.4247779608e-01	0.0000000000e+00	-2.2133752716e-01	2.2133752716e-01	-2.0060755087e-01	2.0060755087e-01
7.8539816340e-01	7.8539816340e-01	0.0000000000e+00	-1.5158194807e-01	1.5158194807e-01	-1.3678523376e-01	1.3678523376e-01
6.2831853072e-01	6.2831853072e-01	0.0000000000e+00	-1.0210686940e-01	1.0210686940e-01	-9.1858377946e-02	9.1858377946e-02
4.7123889804e-01	4.7123889804e-01	0.0000000000e+00	-6.6723796630e-02	6.6723796630e-02	-5.9900754493e-02	5.9900754493e-02
3.1415926536e-01	3.1415926536e-01	0.0000000000e+00	-4.0259144471e-02	4.0259144471e-02	-3.6102574232e-02	3.6102574232e-02
1.5707963268e-01	1.5707963268e-01	0.0000000000e+00	-1.8928039868e-02	1.8928039868e-02	-1.6989121339e-02	1.6989121339e-02
0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-7.5416646642e-05	7.5416646643e-05	-0.0000000000e+00	-0.0000000000e+00
